block_height,hash,received,confirmed,fees,gas_fee_cap,gas_price,gas_tip_cap,gas_used
20000008,5159662c69bb373b33325e036effee5674158f46dddc702bba19a1aad821a5e9,2024-06-01T22:38:23Z,2024-06-01T22:38:23Z,1818765033641240,11490444664,11490444664,11490444664,158285
20000008,fa7bf3f41f488ca82d250acf3e28c9908a615611cf24a07957d972e14dc54003,2024-06-01T22:38:23Z,2024-06-01T22:38:23Z,574804903218504,5726764542,5726764542,0,112929
20000008,8276298ea31d18f552c0417d18c4a5490b3c253b158fc05c496d73d4385bdedf,2024-06-01T22:38:23Z,2024-06-01T22:38:23Z,1502989981461752,12441989708,12441989708,6000000000,135527
20000008,908005d3146d23b3694a5df127be3fc3749b264c50578df51eb33608fe3dd926,2024-06-01T22:38:23Z,2024-06-01T22:38:23Z,1223180155946880,9740867040,9740867040,9740867040,125572
20000008,e0667b4854cdd6e1e2e20e5ea5f48a686636affa4a156b160ce33dc08f80ad10,2024-06-01T22:38:23Z,2024-06-01T22:38:23Z,1276370301291872,8726764539,8726764539,3000000000,157772
20000008,5d1cfbf5b7bc3cd160c1ba3cbfbd720aba44ffc114cfed89eabfb715c0a26158,2024-06-01T22:38:23Z,2024-06-01T22:38:23Z,796481666390016,7908957000,7908957000,2480000000,105216
20000008,b8d88621f15b517d7aa86a92442677d728ff3fff72ea48799257bb32a79309d4,2024-06-01T22:38:23Z,2024-06-01T22:38:23Z,1987235164788272,5726213073,5726213073,0,390422
20000008,6aab9e1cb1af97f89af254f0795f0f525abcfc4f564ef7eb3f3aa2c577996202,2024-06-01T22:38:23Z,2024-06-01T22:38:23Z,568819101819528,7634950764,7634950764,0,111753
20000008,abadf31694f19b902d14d2f5c1cea57b6b3d7f7d731abdd9619d671f8aa88b45,2024-06-01T22:38:23Z,2024-06-01T22:38:23Z,786363921032725,8689056346,8689056346,1578372201,117925
20000008,f38a8aae9eb136c1baed18a9b016d1b8b0f836ec261a5b8a2a51b0b26f109b08,2024-06-01T22:38:23Z,2024-06-01T22:38:23Z,597974433803656,7634950764,7634950764,0,117481
20000008,d41beec4a1f5fed9c71dc1e7fde28e60926055432575bd71c2c23578fa830824,2024-06-01T22:38:20.063Z,2024-06-01T22:38:23Z,223144054875000,10625907375,10625907375,10625907375,21000
20000008,f7bb91159ccba1a913caa5a9966db2231331aa387a121c31170b851d563708b6,2024-06-01T22:38:12.993Z,2024-06-01T22:38:23Z,491870000000000,10000000000,10000000000,10000000000,49187
20000008,3b23c4c739a59a11b53eb1fb49ee2b349b71e396c1e283e3e0b49449b542e1ce,2024-06-01T22:38:17.123Z,2024-06-01T22:38:23Z,210000000000000,10000000000,10000000000,10000000000,21000
20000008,278d92083d645708366a27edf0e5244ce15b9189a1a1a9c81090af0b89c05e55,2024-06-01T22:38:15.419Z,2024-06-01T22:38:23Z,371781000000000,9000000000,9000000000,9000000000,41309
20000008,88f7e28892c045ab5fff626fd5794622a9437c48cf752108e426067c9d767d0c,2024-06-01T22:38:11.984Z,2024-06-01T22:38:23Z,169889310696000,102000000000,102000000000,3000000000,21000
20000009,72fb2b852f9c1788979971d06cb264c091e68afef9f51787234665dfaed8aa4f,2024-06-01T22:38:26.472Z,2024-06-01T22:38:35Z,3657980231430000,174428571429,174428571429,169337604253,21000
20000009,af417e9f5f9369032012640fd5f709e0804f9dcf4ee9fe811c9d8f77e34e1a59,2024-06-01T22:38:30.206Z,2024-06-01T22:38:35Z,1053803927197403,8721095025,8721095025,78400000,213739
20000009,ae137e6f4026a83f821e2b126fe47099e63813051752c7174dd8b67e2f076ce3,2024-06-01T22:38:35Z,2024-06-01T22:38:35Z,24617661826263852,137969723509,137969723509,133117792932,178428
20000009,ebb86fa139b839ca7d7f14fd401132949bfde4c53dee0319af230ad4aa65a7cf,2024-06-01T22:38:35Z,2024-06-01T22:38:35Z,2286357969186000,22930427583,22930427583,16768475751,105750
